YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP,URBANICITY,LIV_TYPE,UNITS,OUTSIDE,GATED,RESTRICTED,INCOME,RACE_HOH,PRINCIPAL_REL,PRINCIPAL_AGE,PRINCIPAL_MARITAL,PRINCIPAL_SEX,PRINCIPAL_ARMFOR,PRINCIPAL_ED,PRINCIPAL_RACE,PRINCIPAL_HISP,REF_AGE,REF_MARITAL,REF_SEX,REF_ARMFOR,REF_ED,REF_RACE,REF_HISP,NUM_OVER12,NUM_UNDER12,NUM_REPORT,BUSINESS,BUSINESS_SIGN,BROKEN_IN,NUM_BROKEN_IN,NUM_VEHICLE,VEHICLE_THEFT,NUM_VEHICLE_THEFT,COLLEGE,PUBLIC,INDIAN_RES,FAMILY_STRUCTURE,REGION,PRINCIPAL_SCHOOL,REF_SCHOOL,REF_REL,AGE,MARITAL,SEX,ARMFOR,ED,RACE,HISP,STOLEN,NUM_STOLEN,ATTACK_LOC,WEAPON,NUM_WEAPON,OFFENDER_KNOWN,NUM_OFFENDER_KNOWN,FORCED_SEX,NUM_FORCED_SEX,POLICE,NO_POLICE,DIS_HEAR,DIS_VIS,DIS_LEARN,DIS_PHYS,DIS_DRESS_BATHE,DIS_LEAVING_HOME,CITIZENSHIP,SEXUAL_ORIENTATION,ACTIVE_DUTY,JOB_WEEK,JOB_6MO,JOB_2WEEK,JOB,EMP_TYPE,JOB_LOC,JOB_COLLEGE,ATT_COLLEGE,NUM_INCIDENTS
2020.1,1.60E+24,9,37,2,1,6,1,2,2,16,99,11,62,3,2,2,42,1,2,62,3,2,2,42,1,2,1,0,1,2,9,2,999,1,1,1,2,2,2,32,1,4,4,11,62,3,2,2,42,1,2,2,999,1,2,999,2,999,2,999,1,2,2,2,2,2,2,2,1,2,1,1,9,9,11,3,1,2,4,1
2020.1,1.60E+24,9,31,1,12,6,2,2,2,2,99,11,20,5,1,2,41,1,2,20,5,1,2,41,1,2,2,0,2,2,9,2,999,2,2,999,2,2,2,14,4,1,1,11,20,5,1,2,41,1,2,1,2,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,1,1,23,1,3,2,1,2
2020.1,1.60E+24,9,31,1,12,6,2,2,2,2,99,11,20,5,1,2,41,1,2,20,5,1,2,41,1,2,2,0,2,2,9,2,999,2,2,999,2,2,2,14,4,1,1,11,20,5,1,2,41,1,2,1,2,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,1,1,23,1,3,2,1,2
2020.1,1.60E+24,5,21,2,1,1,9,2,2,9,99,11,63,5,2,2,42,1,2,63,5,2,2,42,1,2,1,0,1,2,9,2,999,1,2,999,2,9,2,32,4,4,4,11,63,5,2,2,42,1,2,2,999,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,12,3,1,1,4,1
2020.1,1.60E+24,5,37,2,1,1,9,2,2,16,99,11,51,1,2,2,10,5,2,51,1,2,2,10,5,2,4,0,1,2,9,2,999,3,2,999,2,9,2,17,4,4,4,1,58,1,1,2,28,5,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,4,1,9,9,26,1,4,2,4,1
2020.1,1.60E+24,8,21,2,1,1,9,2,2,18,99,11,48,4,1,2,28,1,2,48,4,1,2,28,1,2,3,0,7,2,9,2,999,3,2,999,2,2,2,12,4,4,4,11,48,4,1,2,28,1,2,1,2,1,2,999,2,999,2,999,2,2,2,2,1,2,2,2,1,3,4,1,9,9,27,1,1,2,4,7
2020.1,1.60E+24,8,21,2,1,1,9,2,2,18,99,11,48,4,1,2,28,1,2,48,4,1,2,28,1,2,3,0,7,2,9,2,999,3,2,999,2,2,2,12,4,4,4,11,48,4,1,2,28,1,2,1,2,1,2,999,2,999,2,999,2,2,2,2,1,2,2,2,1,3,4,1,9,9,27,1,1,2,4,7
2020.1,1.60E+24,8,21,2,1,1,9,2,2,18,99,11,48,4,1,2,28,1,2,48,4,1,2,28,1,2,3,0,7,2,9,2,999,3,2,999,2,2,2,12,4,4,4,11,48,4,1,2,28,1,2,1,2,1,2,999,2,999,2,999,2,2,2,2,1,2,2,2,1,3,4,1,9,9,27,1,1,2,4,7
2020.1,1.60E+24,8,21,2,1,1,9,2,2,18,99,11,48,4,1,2,28,1,2,48,4,1,2,28,1,2,3,0,7,2,9,2,999,3,2,999,2,2,2,12,4,4,4,11,48,4,1,2,28,1,2,1,2,1,2,999,2,999,2,999,2,2,2,2,1,2,2,2,1,3,4,1,9,9,27,1,1,2,4,7
2020.1,1.60E+24,8,21,2,1,1,9,2,2,18,99,11,48,4,1,2,28,1,2,48,4,1,2,28,1,2,3,0,7,2,9,2,999,3,2,999,2,2,2,12,4,4,4,11,48,4,1,2,28,1,2,1,2,1,2,999,2,999,2,999,2,2,2,2,1,2,2,2,1,3,4,1,9,9,27,1,1,2,4,7
